?intervention	?interventionLabel
<http://www.wikidata.org/entity/Q421937>	"(RS)-hydroxyzine"@en
<http://www.wikidata.org/entity/Q422806>	"(RS)-bupivacaine"@en
<http://www.wikidata.org/entity/Q422080>	"chlorine dioxide"@en
<http://www.wikidata.org/entity/Q421951>	"kanamycin (extract)"@en
<http://www.wikidata.org/entity/Q422092>	"alginic acid"@en
<http://www.wikidata.org/entity/Q422226>	"dapsone"@en
<http://www.wikidata.org/entity/Q422229>	"diltiazem"@en
<http://www.wikidata.org/entity/Q422543>	"corticosterone"@en
<http://www.wikidata.org/entity/Q422219>	"cloxacillin"@en
<http://www.wikidata.org/entity/Q422215>	"penicillin v"@en
<http://www.wikidata.org/entity/Q422244>	"fluoxetine"@en
<http://www.wikidata.org/entity/Q422618>	"ritonavir"@en
<http://www.wikidata.org/entity/Q422606>	"didanosine"@en
<http://www.wikidata.org/entity/Q422665>	"trimethoprim"@en
<http://www.wikidata.org/entity/Q422654>	"saquinavir"@en
<http://www.wikidata.org/entity/Q423762>	"paclitaxel"@en
<http://www.wikidata.org/entity/Q422669>	"nitrofurantoin"@en
<http://www.wikidata.org/entity/Q422613>	"capric acid"@en
<http://www.wikidata.org/entity/Q422689>	"β-lactulose"@en
<http://www.wikidata.org/entity/Q422740>	"propofol"@en
<http://www.wikidata.org/entity/Q422970>	"promethazine"@en
<http://www.wikidata.org/entity/Q423746>	"pyridoxine"@en
<http://www.wikidata.org/entity/Q421315>	"naratriptan"@en
<http://www.wikidata.org/entity/Q421308>	"CDP-choline (1+)"@en
<http://www.wikidata.org/entity/Q423741>	"procaine"@en
<http://www.wikidata.org/entity/Q421320>	"Ionomycin calcium salt"@en
<http://www.wikidata.org/entity/Q421322>	"atosiban"@en
<http://www.wikidata.org/entity/Q421351>	"oxedrine"@en
<http://www.wikidata.org/entity/Q421336>	"dihydroergotamine"@en
<http://www.wikidata.org/entity/Q423751>	"loperamide"@en
<http://www.wikidata.org/entity/Q423408>	"L-carbocysteine"@en
<http://www.wikidata.org/entity/Q423404>	"Tipranavir"@en
<http://www.wikidata.org/entity/Q423417>	"imiquimod"@en
<http://www.wikidata.org/entity/Q423071>	"midazolam"@en
<http://www.wikidata.org/entity/Q423111>	"vemurafenib"@en
<http://www.wikidata.org/entity/Q423393>	"sulbactam"@en
<http://www.wikidata.org/entity/Q423401>	"isosorbide mononitrate"@en
<http://www.wikidata.org/entity/Q423075>	"cetirizine"@en
<http://www.wikidata.org/entity/Q422631>	"lamivudine"@en
<http://www.wikidata.org/entity/Q422645>	"efavirenz"@en
<http://www.wikidata.org/entity/Q422745>	"benzocaine"@en
<http://www.wikidata.org/entity/Q422782>	"(RS)-dobutamine"@en
<http://www.wikidata.org/entity/Q422252>	"dexamethasone"@en
<http://www.wikidata.org/entity/Q422273>	"clindamycin"@en
<http://www.wikidata.org/entity/Q423005>	"malathion"@en
<http://www.wikidata.org/entity/Q423029>	"norflurane"@en
<http://www.wikidata.org/entity/Q423364>	"propranolol"@en
<http://www.wikidata.org/entity/Q423369>	"josamycin"@en
<http://www.wikidata.org/entity/Q423366>	"nelfinavir"@en
<http://www.wikidata.org/entity/Q423376>	"tazobactam"@en
<http://www.wikidata.org/entity/Q423380>	"oxymorphone"@en
<http://www.wikidata.org/entity/Q423384>	"valganciclovir"@en
<http://www.wikidata.org/entity/Q423390>	"doxylamine"@en
<http://www.wikidata.org/entity/Q423428>	"lincomycin"@en
<http://www.wikidata.org/entity/Q423445>	"cidofovir"@en
<http://www.wikidata.org/entity/Q423498>	"trimipramine"@en
<http://www.wikidata.org/entity/Q423520>	"perphenazine"@en
<http://www.wikidata.org/entity/Q423538>	"tizanidine"@en
<http://www.wikidata.org/entity/Q423169>	"isoniazid"@en
<http://www.wikidata.org/entity/Q423765>	"polymyxins"@en
<http://www.wikidata.org/entity/Q423787>	"piperacillin"@en
<http://www.wikidata.org/entity/Q424972>	"prednisone"@en
<http://www.wikidata.org/entity/Q423185>	"cortisone"@en
<http://www.wikidata.org/entity/Q423288>	"desipramine"@en
<http://www.wikidata.org/entity/Q423285>	"kallikreins"@en
<http://www.wikidata.org/entity/Q423308>	"cabergoline"@en
<http://www.wikidata.org/entity/Q423327>	"enfuvirtide"@en
<http://www.wikidata.org/entity/Q423314>	"amitrole"@en
<http://www.wikidata.org/entity/Q423357>	"eugenol"@en
<http://www.wikidata.org/entity/Q424156>	"tadalafil"@en
<http://www.wikidata.org/entity/Q424163>	"orlistat"@en
<http://www.wikidata.org/entity/Q425681>	"(RS)-lenalidomide"@en
<http://www.wikidata.org/entity/Q424165>	"minoxidil"@en
<http://www.wikidata.org/entity/Q424167>	"finasteride"@en
<http://www.wikidata.org/entity/Q424027>	"vancomycin"@en
<http://www.wikidata.org/entity/Q424037>	"roxithromycin"@en
<http://www.wikidata.org/entity/Q424049>	"loratadine"@en
<http://www.wikidata.org/entity/Q424193>	"levofloxacin"@en
<http://www.wikidata.org/entity/Q425122>	"epirubicin"@en
<http://www.wikidata.org/entity/Q424057>	"Sipuleucel-T"@en
<http://www.wikidata.org/entity/Q424145>	"praziquantel"@en
<http://www.wikidata.org/entity/Q425152>	"imipen"@en
<http://www.wikidata.org/entity/Q424151>	"sibutramine"@en
<http://www.wikidata.org/entity/Q425154>	"tocilizumab"@en
<http://www.wikidata.org/entity/Q425289>	"chlorthalidone"@en
<http://www.wikidata.org/entity/Q425296>	"prazosin"@en
<http://www.wikidata.org/entity/Q425286>	"troclosene"@en
<http://www.wikidata.org/entity/Q425207>	"nabumetone"@en
<http://www.wikidata.org/entity/Q425198>	"huperzine A"@en
<http://www.wikidata.org/entity/Q425293>	"Fosinopril"@en
<http://www.wikidata.org/entity/Q424446>	"lisuride"@en
<http://www.wikidata.org/entity/Q424477>	"methylergonovine"@en
<http://www.wikidata.org/entity/Q424489>	"(+/-)-sulforaphane"@en
<http://www.wikidata.org/entity/Q424508>	"ergonovine"@en
<http://www.wikidata.org/entity/Q424551>	"sodium ascorbate"@en
<http://www.wikidata.org/entity/Q424611>	"glucagon-like peptide-1"@en
<http://www.wikidata.org/entity/Q424760>	"dutasteride"@en
<http://www.wikidata.org/entity/Q424771>	"rosiglitazone"@en
<http://www.wikidata.org/entity/Q424869>	"mocetinostat"@en
<http://www.wikidata.org/entity/Q424940>	"moxifloxacin"@en
<http://www.wikidata.org/entity/Q425490>	"indinavir"@en
<http://www.wikidata.org/entity/Q423804>	"Eplerenone"@en
<http://www.wikidata.org/entity/Q423809>	"(E)-chlorprothixene"@en
<http://www.wikidata.org/entity/Q423814>	"meso-2,3-dimercaptosuccinic acid"@en
<http://www.wikidata.org/entity/Q423842>	"dimethyl sulfone"@en
<http://www.wikidata.org/entity/Q423890>	"digitoxin"@en
<http://www.wikidata.org/entity/Q423922>	"pentachlorophenol"@en
<http://www.wikidata.org/entity/Q425680>	"deoxycholic acid"@en
<http://www.wikidata.org/entity/Q425665>	"immunotoxin"@en
<http://www.wikidata.org/entity/Q423930>	"hydrochlorothiazide"@en
<http://www.wikidata.org/entity/Q424976>	"retinol"@en
<http://www.wikidata.org/entity/Q425502>	"nitrofurazone"@en
<http://www.wikidata.org/entity/Q426203>	"tezosentan"@en
<http://www.wikidata.org/entity/Q426401>	"eperisone"@en
<http://www.wikidata.org/entity/Q426460>	"chloroxylenol"@en
<http://www.wikidata.org/entity/Q426605>	"nadifloxacin"@en
<http://www.wikidata.org/entity/Q426846>	"pancreatin"@en
<http://www.wikidata.org/entity/Q426897>	"pyrantel"@en
<http://www.wikidata.org/entity/Q427419>	"tocotrienol"@en
<http://www.wikidata.org/entity/Q425702>	"silibinin A"@en
<http://www.wikidata.org/entity/Q424952>	"nadolol"@en
<http://www.wikidata.org/entity/Q425881>	"moxaverine"@en
<http://www.wikidata.org/entity/Q425894>	"trichostatin A"@en
<http://www.wikidata.org/entity/Q425887>	"doxofylline"@en
<http://www.wikidata.org/entity/Q425911>	"miglustat"@en
<http://www.wikidata.org/entity/Q426185>	"cyproterone acetate"@en
<http://www.wikidata.org/entity/Q425946>	"suramin"@en
<http://www.wikidata.org/entity/Q426070>	"dimethindene"@en
<http://www.wikidata.org/entity/Q552308>	"eye drop"@en
<http://www.wikidata.org/entity/Q553220>	"ertapenem"@en
<http://www.wikidata.org/entity/Q553161>	"azimilide"@en
<http://www.wikidata.org/entity/Q560542>	"cosyntropin"@en
<http://www.wikidata.org/entity/Q553129>	"Evacetrapib"@en
<http://www.wikidata.org/entity/Q425362>	"hexachlorophene"@en
<http://www.wikidata.org/entity/Q425409>	"hypericin"@en
<http://www.wikidata.org/entity/Q425386>	"dyclonine"@en
<http://www.wikidata.org/entity/Q423971>	"sodium benzoate"@en
<http://www.wikidata.org/entity/Q425470>	"pentostatin"@en
<http://www.wikidata.org/entity/Q423960>	"provitamin"@en
<http://www.wikidata.org/entity/Q574820>	"antiandrogen"@en
<http://www.wikidata.org/entity/Q425300>	"benznidazole"@en
<http://www.wikidata.org/entity/Q423984>	"stavudine"@en
<http://www.wikidata.org/entity/Q423989>	"diethylstilbestrol"@en
<http://www.wikidata.org/entity/Q424997>	"mesna"@en
<http://www.wikidata.org/entity/Q424319>	"bacitracin a"@en
<http://www.wikidata.org/entity/Q424260>	"tianeptine"@en
<http://www.wikidata.org/entity/Q424340>	"terbutaline"@en
<http://www.wikidata.org/entity/Q424378>	"succinylcholine"@en
<http://www.wikidata.org/entity/Q424372>	"daminozide"@en
<http://www.wikidata.org/entity/Q424412>	"benperidol"@en
<http://www.wikidata.org/entity/Q425027>	"glimepiride"@en
<http://www.wikidata.org/entity/Q729213>	"nicardipine"@en
<http://www.wikidata.org/entity/Q732234>	"fluprednisolone"@en
<http://www.wikidata.org/entity/Q733186>	"telmisartan"@en
<http://www.wikidata.org/entity/Q736270>	"Mefloquine"@en
<http://www.wikidata.org/entity/Q736113>	"difluprednate"@en
<http://www.wikidata.org/entity/Q425088>	"temozolomide"@en
<http://www.wikidata.org/entity/Q574834>	"angiogenesis inhibitor"@en
<http://www.wikidata.org/entity/Q575222>	"antifibrinolytic"@en
<http://www.wikidata.org/entity/Q575890>	"antihypertensive drug"@en
<http://www.wikidata.org/entity/Q576104>	"neonate"@en
<http://www.wikidata.org/entity/Q577387>	"bezafibrate"@en
<http://www.wikidata.org/entity/Q576618>	"anticonvulsant agent"@en
<http://www.wikidata.org/entity/Q579348>	"alprostadil"@en
<http://www.wikidata.org/entity/Q592802>	"benazepril"@en
<http://www.wikidata.org/entity/Q582356>	"Interferon gamma-1b"@en
<http://www.wikidata.org/entity/Q582556>	"lafutidine"@en
<http://www.wikidata.org/entity/Q937224>	"dolutegravir"@en
<http://www.wikidata.org/entity/Q471763>	"aminophylline"@en
<http://www.wikidata.org/entity/Q749664>	"deferiprone"@en
<http://www.wikidata.org/entity/Q749244>	"Edrecolomab"@en
<http://www.wikidata.org/entity/Q737743>	"doxapram"@en
<http://www.wikidata.org/entity/Q738452>	"Milbemycin oxime"@en
<http://www.wikidata.org/entity/Q483745>	"L-leucine"@en
<http://www.wikidata.org/entity/Q474191>	"diet"@en
<http://www.wikidata.org/entity/Q481822>	"acetohydroxamic acid"@en
<http://www.wikidata.org/entity/Q782318>	"Verteporfin"@en
<http://www.wikidata.org/entity/Q772735>	"miglitol"@en
<http://www.wikidata.org/entity/Q771975>	"antazoline"@en
<http://www.wikidata.org/entity/Q779118>	"deflazacort"@en
<http://www.wikidata.org/entity/Q784717>	"eprosartan"@en
<http://www.wikidata.org/entity/Q944073>	"Listerine"@en
<http://www.wikidata.org/entity/Q798309>	"BCG vaccine"@en
<http://www.wikidata.org/entity/Q593166>	"(±)-molindone"@en
<http://www.wikidata.org/entity/Q596022>	"quinapril"@en
<http://www.wikidata.org/entity/Q596708>	"granisetron"@en
<http://www.wikidata.org/entity/Q599052>	"(RS)-nefopam"@en
<http://www.wikidata.org/entity/Q510113>	"Rubitecan"@en
<http://www.wikidata.org/entity/Q904153>	"sevelamer"@en
<http://www.wikidata.org/entity/Q600203>	"dopamine agonists"@en
<http://www.wikidata.org/entity/Q600867>	"proparacaine"@en
<http://www.wikidata.org/entity/Q617563>	"cysteamine"@en
<http://www.wikidata.org/entity/Q524995>	"dexrazoxane"@en
<http://www.wikidata.org/entity/Q607349>	"fluorometholone"@en
<http://www.wikidata.org/entity/Q608726>	"propyl gallate"@en
<http://www.wikidata.org/entity/Q514534>	"encainide"@en
<http://www.wikidata.org/entity/Q521616>	"antimalarial"@en
<http://www.wikidata.org/entity/Q531507>	"micronutrients"@en
<http://www.wikidata.org/entity/Q904321>	"propiverine"@en
<http://www.wikidata.org/entity/Q904464>	"lumefantrine"@en
<http://www.wikidata.org/entity/Q634959>	"latanoprost"@en
<http://www.wikidata.org/entity/Q907160>	"leuprolide"@en
<http://www.wikidata.org/entity/Q909745>	"linagliptin"@en
<http://www.wikidata.org/entity/Q905901>	"vorinostat"@en
<http://www.wikidata.org/entity/Q907853>	"droxidopa"@en
<http://www.wikidata.org/entity/Q907219>	"tiagabine"@en
<http://www.wikidata.org/entity/Q620730>	"glycine"@en
<http://www.wikidata.org/entity/Q945537>	"tofisopam"@en
<http://www.wikidata.org/entity/Q908790>	"edotreotide"@en
<http://www.wikidata.org/entity/Q621834>	"aprepitant"@en
<http://www.wikidata.org/entity/Q947266>	"irbesartan"@en
<http://www.wikidata.org/entity/Q427523>	"opioid"@en
<http://www.wikidata.org/entity/Q909808>	"creosote"@en
<http://www.wikidata.org/entity/Q627499>	"pamidronic acid"@en
<http://www.wikidata.org/entity/Q627524>	"Freund's adjuvant"@en
<http://www.wikidata.org/entity/Q910277>	"tocopherol"@en
<http://www.wikidata.org/entity/Q827658>	"sunscreen"@en
<http://www.wikidata.org/entity/Q631202>	"etoricoxib"@en
<http://www.wikidata.org/entity/Q1002165>	"fluticasone"@en
<http://www.wikidata.org/entity/Q830382>	"best practice"@en
<http://www.wikidata.org/entity/Q831929>	"drotaverine"@en
<http://www.wikidata.org/entity/Q834280>	"bupropion"@en
<http://www.wikidata.org/entity/Q904647>	"dexetimide"@en
<http://www.wikidata.org/entity/Q1044248>	"mometasone furoate"@en
<http://www.wikidata.org/entity/Q1041804>	"imidapril"@en
<http://www.wikidata.org/entity/Q1003185>	"fosfestrol"@en
<http://www.wikidata.org/entity/Q668093>	"atorvastatin"@en
<http://www.wikidata.org/entity/Q847399>	"milrinone"@en
<http://www.wikidata.org/entity/Q836952>	"magnesium trisilicate"@en
<http://www.wikidata.org/entity/Q848264>	"flavoxate"@en
<http://www.wikidata.org/entity/Q430719>	"decongestant"@en
<http://www.wikidata.org/entity/Q707939>	"artesunate"@en
<http://www.wikidata.org/entity/Q433751>	"ATC code A04"@en
<http://www.wikidata.org/entity/Q854263>	"trioxsalen"@en
<http://www.wikidata.org/entity/Q684379>	"nepafenac"@en
<http://www.wikidata.org/entity/Q670131>	"simvastatin"@en
<http://www.wikidata.org/entity/Q674703>	"trimetazidine"@en
<http://www.wikidata.org/entity/Q433950>	"ATC code D04"@en
<http://www.wikidata.org/entity/Q850074>	"brotizolam"@en
<http://www.wikidata.org/entity/Q850729>	"butenafine"@en
<http://www.wikidata.org/entity/Q905750>	"nitrous oxide"@en
<http://www.wikidata.org/entity/Q905952>	"dipivefrin"@en
<http://www.wikidata.org/entity/Q905905>	"Neuromodulation"@en
<http://www.wikidata.org/entity/Q544393>	"Trovafloxacin"@en
<http://www.wikidata.org/entity/Q546434>	"carteolol"@en
<http://www.wikidata.org/entity/Q545234>	"Tocolytic,uterine relaxants"@en
<http://www.wikidata.org/entity/Q906453>	"posaconazole"@en
<http://www.wikidata.org/entity/Q906415>	"tyrosine-kinase inhibitor"@en
<http://www.wikidata.org/entity/Q906351>	"triptolide"@en
<http://www.wikidata.org/entity/Q907104>	"ranolazine"@en
<http://www.wikidata.org/entity/Q908013>	"fenbendazole"@en
<http://www.wikidata.org/entity/Q908096>	"opioid antagonist"@en
<http://www.wikidata.org/entity/Q907480>	"iclaprim"@en
<http://www.wikidata.org/entity/Q907313>	"trilostane"@en
<http://www.wikidata.org/entity/Q907623>	"nimustine"@en
<http://www.wikidata.org/entity/Q947595>	"halofantrine"@en
<http://www.wikidata.org/entity/Q954845>	"statin"@en
<http://www.wikidata.org/entity/Q695611>	"amlexanox"@en
<http://www.wikidata.org/entity/Q905783>	"istradefylline"@en
<http://www.wikidata.org/entity/Q905835>	"plerixafor"@en
<http://www.wikidata.org/entity/Q793143>	"benzydamine"@en
<http://www.wikidata.org/entity/Q721432>	"platelet aggregation inhibitors"@en
<http://www.wikidata.org/entity/Q794162>	"betaxolol"@en
<http://www.wikidata.org/entity/Q900898>	"probenecid"@en
<http://www.wikidata.org/entity/Q862989>	"nicorandil"@en
<http://www.wikidata.org/entity/Q718113>	"weight loss"@en
<http://www.wikidata.org/entity/Q720356>	"rhein"@en
<http://www.wikidata.org/entity/Q891968>	"Nabiximols"@en
<http://www.wikidata.org/entity/Q958087>	"labetalol"@en
<http://www.wikidata.org/entity/Q902379>	"icatibant"@en
<http://www.wikidata.org/entity/Q867350>	"cilazapril"@en
<http://www.wikidata.org/entity/Q871349>	"vasotocin"@en
<http://www.wikidata.org/entity/Q903322>	"levulinic acid"@en
<http://www.wikidata.org/entity/Q866657>	"protionamide"@en
<http://www.wikidata.org/entity/Q867332>	"(RS)-cyclopentolate"@en
<http://www.wikidata.org/entity/Q904308>	"mestranol"@en
<http://www.wikidata.org/entity/Q967453>	"immunologic adjuvant"@en
<http://www.wikidata.org/entity/Q961081>	"Troxerutin"@en
<http://www.wikidata.org/entity/Q963406>	"Cimetropium bromide"@en
<http://www.wikidata.org/entity/Q963093>	"sulindac"@en
<http://www.wikidata.org/entity/Q966412>	"Galiximab"@en
<http://www.wikidata.org/entity/Q904011>	"desonide"@en
<http://www.wikidata.org/entity/Q904071>	"moricizine"@en
<http://www.wikidata.org/entity/Q808845>	"ceftazidime"@en
<http://www.wikidata.org/entity/Q799775>	"bafetinib"@en
<http://www.wikidata.org/entity/Q905038>	"fosmidomycin"@en
<http://www.wikidata.org/entity/Q905664>	"sitaxentan"@en
<http://www.wikidata.org/entity/Q810254>	"disease-modifying antirheumatic drug"@en
<http://www.wikidata.org/entity/Q816759>	"beta blocker"@en
<http://www.wikidata.org/entity/Q818165>	"benserazide"@en
<http://www.wikidata.org/entity/Q818513>	"benzenesulfonamide"@en
<http://www.wikidata.org/entity/Q821641>	"metyrapone"@en
<http://www.wikidata.org/entity/Q909194>	"inhalational anaesthetic"@en
<http://www.wikidata.org/entity/Q909353>	"tulobuterol"@en
<http://www.wikidata.org/entity/Q1057705>	"cethromycin"@en
<http://www.wikidata.org/entity/Q1052672>	"cefpodoxime proxetil"@en
<http://www.wikidata.org/entity/Q1060922>	"(RS)-oxybutynin"@en
<http://www.wikidata.org/entity/Q1063862>	"idarubicin"@en
<http://www.wikidata.org/entity/Q1747559>	"phenelzine"@en
<http://www.wikidata.org/entity/Q1728148>	"milbemycin"@en
<http://www.wikidata.org/entity/Q1747785>	"non-opioid analgesic"@en
<http://www.wikidata.org/entity/Q433885>	"ATC code C03"@en
<http://www.wikidata.org/entity/Q457239>	"petroleum jelly"@en
<http://www.wikidata.org/entity/Q1078392>	"indapamide"@en
<http://www.wikidata.org/entity/Q632405>	"(RS)-epinastine"@en
<http://www.wikidata.org/entity/Q1087888>	"azilsartan medoxomil"@en
<http://www.wikidata.org/entity/Q1088175>	"polymyxin B"@en
<http://www.wikidata.org/entity/Q1082945>	"ceftizoxime"@en
<http://www.wikidata.org/entity/Q917803>	"(S)-AMPA"@en
<http://www.wikidata.org/entity/Q924467>	"fluocinolone acetonide"@en
<http://www.wikidata.org/entity/Q481757>	"aceclofenac"@en
<http://www.wikidata.org/entity/Q617686>	"Sultamicillin"@en
<http://www.wikidata.org/entity/Q619815>	"Protoporphyrin IX"@en
<http://www.wikidata.org/entity/Q619908>	"alkylating antineoplastic agent"@en
<http://www.wikidata.org/entity/Q1100864>	"clevudine"@en
<http://www.wikidata.org/entity/Q1109018>	"dezocine"@en
<http://www.wikidata.org/entity/Q1135705>	"rifabutin"@en
<http://www.wikidata.org/entity/Q1135788>	"Red yeast rice"@en
<http://www.wikidata.org/entity/Q1117888>	"isoxsuprine"@en
<http://www.wikidata.org/entity/Q1181878>	"decitabine"@en
<http://www.wikidata.org/entity/Q971360>	"Bemiparin"@en
<http://www.wikidata.org/entity/Q1169164>	"bendroflumethiazide"@en
<http://www.wikidata.org/entity/Q1998021>	"Pertuzumab"@en
<http://www.wikidata.org/entity/Q975059>	"ulipristal acetate"@en
<http://www.wikidata.org/entity/Q1185089>	"butorphanol"@en
<http://www.wikidata.org/entity/Q1187179>	"Denileukin diftitox"@en
<http://www.wikidata.org/entity/Q993771>	"Batroxobin"@en
<http://www.wikidata.org/entity/Q976559>	"sparfloxacin"@en
<http://www.wikidata.org/entity/Q1188290>	"nizatidine"@en
<http://www.wikidata.org/entity/Q1215575>	"naproxen"@en
<http://www.wikidata.org/entity/Q1240093>	"pravastatin"@en
<http://www.wikidata.org/entity/Q2298283>	"melphalan"@en
<http://www.wikidata.org/entity/Q1929845>	"NPH insulin"@en
<http://www.wikidata.org/entity/Q2211240>	"triamcinolone acetonide"@en
<http://www.wikidata.org/entity/Q1074056>	"triamcinolone"@en
<http://www.wikidata.org/entity/Q2226212>	"satraplatin"@en
<http://www.wikidata.org/entity/Q918385>	"training"@en
<http://www.wikidata.org/entity/Q1752915>	"trifluoperazine"@en
<http://www.wikidata.org/entity/Q1075324>	"chlorpropamide"@en
<http://www.wikidata.org/entity/Q1075492>	"lawsone"@en
<http://www.wikidata.org/entity/Q1758380>	"tobramycin"@en
<http://www.wikidata.org/entity/Q921133>	"manidipine"@en
<http://www.wikidata.org/entity/Q929420>	"trandolapril"@en
<http://www.wikidata.org/entity/Q928378>	"zafirlukast"@en
<http://www.wikidata.org/entity/Q927234>	"bronchodilator"@en
<http://www.wikidata.org/entity/Q937085>	"Dexchlorpheniramine"@en
<http://www.wikidata.org/entity/Q2178381>	"Darbepoetin alfa"@en
<http://www.wikidata.org/entity/Q1988832>	"bicalutamide"@en
<http://www.wikidata.org/entity/Q1163827>	"lacidipine"@en
<http://www.wikidata.org/entity/Q1164067>	"delapril"@en
<http://www.wikidata.org/entity/Q1758668>	"triflusal"@en
<http://www.wikidata.org/entity/Q1763990>	"quinupristin-dalfopristin"@en
<http://www.wikidata.org/entity/Q1169561>	"metolazone"@en
<http://www.wikidata.org/entity/Q1152037>	"aerobic exercise"@en
<http://www.wikidata.org/entity/Q1144687>	"fucoidan"@en
<http://www.wikidata.org/entity/Q2014797>	"ketorolac"@en
<http://www.wikidata.org/entity/Q2013780>	"Ocrelizumab"@en
<http://www.wikidata.org/entity/Q2022983>	"sulfacetamide"@en
<http://www.wikidata.org/entity/Q1243800>	"isosorbide"@en
<http://www.wikidata.org/entity/Q1593246>	"triamcinolone hexacetonide"@en
<http://www.wikidata.org/entity/Q2060696>	"pirfenidone"@en
<http://www.wikidata.org/entity/Q2062094>	"Pramlintide"@en
<http://www.wikidata.org/entity/Q1618010>	"picibanil"@en
<http://www.wikidata.org/entity/Q1638852>	"nafcillin"@en
<http://www.wikidata.org/entity/Q1615256>	"Haemaccel"@en
<http://www.wikidata.org/entity/Q1644947>	"Tenecteplase"@en
<http://www.wikidata.org/entity/Q1639595>	"gemifloxacin"@en
<http://www.wikidata.org/entity/Q1639588>	"cinoxacin"@en
<http://www.wikidata.org/entity/Q1320691>	"salsalate"@en
<http://www.wikidata.org/entity/Q1321320>	"tinidazole"@en
<http://www.wikidata.org/entity/Q1706418>	"dextroamphetamine"@en
<http://www.wikidata.org/entity/Q1257318>	"bedaquiline"@en
<http://www.wikidata.org/entity/Q1253473>	"doxifluridine"@en
<http://www.wikidata.org/entity/Q1280166>	"Ecallantide"@en
<http://www.wikidata.org/entity/Q1281020>	"entinostat"@en
<http://www.wikidata.org/entity/Q1707877>	"lanreotide"@en
<http://www.wikidata.org/entity/Q2754775>	"Insulin Aspart"@en
<http://www.wikidata.org/entity/Q2273909>	"serotonin–norepinephrine reuptake inhibitor"@en
<http://www.wikidata.org/entity/Q1420402>	"incretins"@en
<http://www.wikidata.org/entity/Q2240116>	"levocabastine"@en
<http://www.wikidata.org/entity/Q2251215>	"kinetin"@en
<http://www.wikidata.org/entity/Q2254797>	"nateglinide"@en
<http://www.wikidata.org/entity/Q2291605>	"moexipril"@en
<http://www.wikidata.org/entity/Q1393556>	"2,4-thiazolidinedione"@en
<http://www.wikidata.org/entity/Q1385311>	"fosamprenavir"@en
<http://www.wikidata.org/entity/Q1384342>	"mucokinetic"@en
<http://www.wikidata.org/entity/Q1339032>	"emodepside"@en
<http://www.wikidata.org/entity/Q2295855>	"eptifibatide"@en
<http://www.wikidata.org/entity/Q1439555>	"fotemustine"@en
<http://www.wikidata.org/entity/Q1453445>	"cefdinir"@en
<http://www.wikidata.org/entity/Q1479804>	"HIV vaccine"@en
<http://www.wikidata.org/entity/Q2502747>	"sofosbuvir"@en
<http://www.wikidata.org/entity/Q2755101>	"general anaesthetic"@en
<http://www.wikidata.org/entity/Q2756206>	"high-intensity interval training"@en
<http://www.wikidata.org/entity/Q2757844>	"Sodium stibogluconate"@en
<http://www.wikidata.org/entity/Q2353907>	"cefoxitin"@en
<http://www.wikidata.org/entity/Q2357007>	"fenoldopam"@en
<http://www.wikidata.org/entity/Q2356505>	"(RS)-diethylpropion"@en
<http://www.wikidata.org/entity/Q2823764>	"Actovegin"@en
<http://www.wikidata.org/entity/Q2342544>	"acipimox"@en
<http://www.wikidata.org/entity/Q2341200>	"clodronic acid"@en
<http://www.wikidata.org/entity/Q2358146>	"ornidazole"@en
<http://www.wikidata.org/entity/Q2359590>	"trifluridine"@en
<http://www.wikidata.org/entity/Q2526479>	"liraglutide"@en
<http://www.wikidata.org/entity/Q2510480>	"vanoxerine"@en
<http://www.wikidata.org/entity/Q2359690>	"prochlorperazine"@en
<http://www.wikidata.org/entity/Q2365016>	"gatifloxacin"@en
<http://www.wikidata.org/entity/Q2365493>	"esketamine"@en
<http://www.wikidata.org/entity/Q2190150>	"perflubron"@en
<http://www.wikidata.org/entity/Q2193376>	"travoprost"@en
<http://www.wikidata.org/entity/Q2705066>	"Dronabinol"@en
<http://www.wikidata.org/entity/Q2718713>	"(5E)-5-[(3aS,5R,6aS)-5-Hydroxy-4-[(1E,3S)-3-hydroxy-4-methyl-1-octen-6-yn-1-yl]hexahydro-2(1H)-pentalenylidene]pentanoic acid"@en
<http://www.wikidata.org/entity/Q1230937>	"semustine"@en
<http://www.wikidata.org/entity/Q1235195>	"Romiplostim"@en
<http://www.wikidata.org/entity/Q1227207>	"oxantel"@en
<http://www.wikidata.org/entity/Q2731762>	"teicoplanin"@en
<http://www.wikidata.org/entity/Q1996249>	"belimumab"@en
<http://www.wikidata.org/entity/Q1984607>	"phosphocreatine"@en
<http://www.wikidata.org/entity/Q1958189>	"bromopride"@en
<http://www.wikidata.org/entity/Q1292703>	"reproterol"@en
<http://www.wikidata.org/entity/Q2445303>	"amphetamines"@en
<http://www.wikidata.org/entity/Q1989071>	"Dirithromycin"@en
<http://www.wikidata.org/entity/Q1992653>	"goserelin"@en
<http://www.wikidata.org/entity/Q2450337>	"interferon beta-1a"@en
<http://www.wikidata.org/entity/Q1994556>	"flucloxacillin"@en
<http://www.wikidata.org/entity/Q1530958>	"Oxybuprocaine"@en
<http://www.wikidata.org/entity/Q1496686>	"Keyhole limpet hemocyanin"@en
<http://www.wikidata.org/entity/Q1770257>	"indole-3-carbinol"@en
<http://www.wikidata.org/entity/Q1640947>	"phenindione"@en
<http://www.wikidata.org/entity/Q1829318>	"dolasetron"@en
<http://www.wikidata.org/entity/Q1809112>	"dermatologic drug"@en
